Sample,Treatment,Analyte,Measured,Predicted
couscous_pork,Food_food,Acetate,0.136181255,-1.277431673
couscous_pork,Food_food,Propionate,1.157797158,1.147263394
couscous_pork,Food_food,Propionate,-0.153146048,1.147263394
couscous_pork,Food_food,Propionate,-0.436067115,1.147263394
couscous_pork,Food_food,Butyrate,1.174400119,-0.378727581
couscous_pork,Food_food,Butyrate,-0.754924482,-0.378727581
couscous_pork,Food_food,Butyrate,1.650399188,-0.378727581
couscous_pork,Food_food,total_SCFAs,-1.684204561,-0.707009265
couscous_pork,Food_food,total_SCFAs,-1.033088754,-0.707009265
couscous_pork,Food_food,total_SCFAs,0.155903439,-0.707009265
couscous_pumpkin,Food_food,Acetate,0.284758437,0.592873053
couscous_pumpkin,Food_food,Acetate,1.918302464,0.592873053
couscous_pumpkin,Food_food,Acetate,0.696136807,0.592873053
couscous_pumpkin,Food_food,Propionate,-0.267538363,-0.34008825
couscous_pumpkin,Food_food,Propionate,1.019065261,-0.34008825
couscous_pumpkin,Food_food,Propionate,-0.524814817,-0.34008825
couscous_pumpkin,Food_food,Butyrate,-0.685237164,0.123397964
couscous_pumpkin,Food_food,Butyrate,-0.285292468,0.123397964
couscous_pumpkin,Food_food,Butyrate,-0.603981985,0.123397964
couscous_pumpkin,Food_food,total_SCFAs,0.199356646,0.393318887
couscous_pumpkin,Food_food,total_SCFAs,1.867381744,0.393318887
couscous_pumpkin,Food_food,total_SCFAs,0.553240482,0.393318887
pork_raspberries,Food_food,Acetate,1.129845462,0.498644455
pork_raspberries,Food_food,Acetate,-0.413744099,0.498644455
pork_raspberries,Food_food,Acetate,1.469011378,0.498644455
pork_raspberries,Food_food,Propionate,1.484171542,-0.316416517
pork_raspberries,Food_food,Propionate,-1.18676132,-0.316416517
pork_raspberries,Food_food,Propionate,0.776791542,-0.316416517
pork_raspberries,Food_food,Butyrate,1.248210855,-0.237340004
pork_raspberries,Food_food,Butyrate,0.076535754,-0.237340004
pork_raspberries,Food_food,Butyrate,-0.454108427,-0.237340004
pork_raspberries,Food_food,total_SCFAs,1.267192819,-0.002617758
pork_raspberries,Food_food,total_SCFAs,-0.510467418,-0.002617758
pork_raspberries,Food_food,total_SCFAs,1.41830443,-0.002617758
pumpkin_yellow_peas,Food_food,Acetate,-1.301160525,-0.098153667
pumpkin_yellow_peas,Food_food,Acetate,-0.661345221,-0.098153667
pumpkin_yellow_peas,Food_food,Acetate,-0.380123421,-0.098153667
pumpkin_yellow_peas,Food_food,Propionate,-0.910162744,0.739510853
pumpkin_yellow_peas,Food_food,Propionate,-0.919762503,0.739510853
pumpkin_yellow_peas,Food_food,Propionate,-0.92589946,0.739510853
pumpkin_yellow_peas,Food_food,Butyrate,-0.71352499,-0.149851105
pumpkin_yellow_peas,Food_food,Butyrate,-0.655940175,-0.149851105
pumpkin_yellow_peas,Food_food,Butyrate,-0.53057579,-0.149851105
pumpkin_yellow_peas,Food_food,total_SCFAs,-1.33466136,0.218724666
pumpkin_yellow_peas,Food_food,total_SCFAs,-0.743740825,0.218724666
pumpkin_yellow_peas,Food_food,total_SCFAs,-0.47941488,0.218724666
formula_black_beans_blackcurrants,Food_food_formula,Acetate,-1.701708624,0.658192193
formula_black_beans_blackcurrants,Food_food_formula,Acetate,-0.947694677,0.658192193
formula_black_beans_blackcurrants,Food_food_formula,Acetate,0.472114222,0.658192193
formula_black_beans_blackcurrants,Food_food_formula,Propionate,-1.42782655,-1.462497267
formula_black_beans_blackcurrants,Food_food_formula,Propionate,-1.194215888,-1.462497267
formula_black_beans_blackcurrants,Food_food_formula,Propionate,0.603211537,-1.462497267
formula_black_beans_blackcurrants,Food_food_formula,Butyrate,-0.706938199,-0.793142546
formula_black_beans_blackcurrants,Food_food_formula,Butyrate,2.48724753,-0.793142546
formula_black_beans_blackcurrants,Food_food_formula,Butyrate,0.454666417,-0.793142546
formula_black_beans_blackcurrants,Food_food_formula,total_SCFAs,-1.780418799,-1.336860199
formula_black_beans_blackcurrants,Food_food_formula,total_SCFAs,-0.840989764,-1.336860199
formula_black_beans_blackcurrants,Food_food_formula,total_SCFAs,0.547790616,-1.336860199
formula_black_beans_pumpkin,Food_food_formula,Acetate,-0.011826708,0.781495112
formula_black_beans_pumpkin,Food_food_formula,Acetate,0.814626567,0.781495112
formula_black_beans_pumpkin,Food_food_formula,Acetate,-1.258191084,0.781495112
formula_black_beans_pumpkin,Food_food_formula,Propionate,-0.154463973,-0.056837291
formula_black_beans_pumpkin,Food_food_formula,Propionate,0.137423818,-0.056837291
formula_black_beans_pumpkin,Food_food_formula,Propionate,-0.459203662,-0.056837291
formula_black_beans_pumpkin,Food_food_formula,Butyrate,-0.44259745,0.155540298
formula_black_beans_pumpkin,Food_food_formula,Butyrate,-0.402290409,0.155540298
formula_black_beans_pumpkin,Food_food_formula,Butyrate,0.477157131,0.155540298
formula_black_beans_pumpkin,Food_food_formula,total_SCFAs,-0.060294207,0.951892895
formula_black_beans_pumpkin,Food_food_formula,total_SCFAs,0.719013303,0.951892895
formula_black_beans_pumpkin,Food_food_formula,total_SCFAs,-1.145426737,0.951892895
formula_blackcurrants_kumara_with_skin,Food_food_formula,Acetate,-1.602599922,-0.652950051
formula_blackcurrants_kumara_with_skin,Food_food_formula,Acetate,-0.049493053,-0.652950051
formula_blackcurrants_kumara_with_skin,Food_food_formula,Acetate,0.412716042,-0.652950051
formula_blackcurrants_kumara_with_skin,Food_food_formula,Propionate,-1.925749168,0.281450323
formula_blackcurrants_kumara_with_skin,Food_food_formula,Propionate,-1.244300383,0.281450323
formula_blackcurrants_kumara_with_skin,Food_food_formula,Propionate,-0.250666192,0.281450323
formula_blackcurrants_kumara_with_skin,Food_food_formula,Butyrate,1.830198227,-0.296317756
formula_blackcurrants_kumara_with_skin,Food_food_formula,Butyrate,-0.706938199,-0.296317756
formula_blackcurrants_kumara_with_skin,Food_food_formula,Butyrate,0.051718326,-0.296317756
formula_blackcurrants_kumara_with_skin,Food_food_formula,total_SCFAs,-1.579439078,-0.648777567
formula_blackcurrants_kumara_with_skin,Food_food_formula,total_SCFAs,-0.325970111,-0.648777567
formula_blackcurrants_kumara_with_skin,Food_food_formula,total_SCFAs,0.335804641,-0.648777567
formula_blackcurrants_kumara_without_skin,Food_food_formula,Acetate,1.000416252,-0.270235971
formula_blackcurrants_kumara_without_skin,Food_food_formula,Acetate,0.275322652,-0.270235971
formula_blackcurrants_kumara_without_skin,Food_food_formula,Acetate,-0.148573711,-0.270235971
formula_blackcurrants_kumara_without_skin,Food_food_formula,Propionate,0.730237358,-0.268882813
formula_blackcurrants_kumara_without_skin,Food_food_formula,Propionate,-0.671132244,-0.268882813
formula_blackcurrants_kumara_without_skin,Food_food_formula,Propionate,0.321877987,-0.268882813
formula_blackcurrants_kumara_without_skin,Food_food_formula,Butyrate,-0.362829384,-1.342103842
formula_blackcurrants_kumara_without_skin,Food_food_formula,Butyrate,2.66408599,-1.342103842
formula_blackcurrants_kumara_without_skin,Food_food_formula,Butyrate,-0.63979236,-1.342103842
formula_blackcurrants_kumara_without_skin,Food_food_formula,total_SCFAs,0.977168624,-1.479096255
formula_blackcurrants_kumara_without_skin,Food_food_formula,total_SCFAs,0.334520407,-1.479096255
formula_blackcurrants_kumara_without_skin,Food_food_formula,total_SCFAs,-0.122297621,-1.479096255
formula_blackcurrants_pork,Food_food_formula,Acetate,-0.628873094,0.814847489
formula_blackcurrants_pork,Food_food_formula,Acetate,-0.141261102,0.814847489
formula_blackcurrants_pork,Food_food_formula,Acetate,-0.951929351,0.814847489
formula_blackcurrants_pork,Food_food_formula,Propionate,0.041942937,-0.598676806
formula_blackcurrants_pork,Food_food_formula,Propionate,0.229069614,-0.598676806
formula_blackcurrants_pork,Food_food_formula,Propionate,-1.257953594,-0.598676806
formula_blackcurrants_pork,Food_food_formula,Butyrate,2.01949225,1.441001991
formula_blackcurrants_pork,Food_food_formula,Butyrate,1.033370014,1.441001991
formula_blackcurrants_pork,Food_food_formula,Butyrate,1.584769948,1.441001991
formula_blackcurrants_pork,Food_food_formula,total_SCFAs,-0.402317734,1.235647119
formula_blackcurrants_pork,Food_food_formula,total_SCFAs,-0.011681919,1.235647119
formula_blackcurrants_pork,Food_food_formula,total_SCFAs,-0.918355102,1.235647119
formula_blackcurrants_soybeans,Food_food_formula,Acetate,-0.127185831,1.225292436
formula_blackcurrants_soybeans,Food_food_formula,Acetate,-1.304714365,1.225292436
formula_blackcurrants_soybeans,Food_food_formula,Acetate,0.182394128,1.225292436
formula_blackcurrants_soybeans,Food_food_formula,Propionate,0.38756354,-0.588812706
formula_blackcurrants_soybeans,Food_food_formula,Propionate,-0.87900908,-0.588812706
formula_blackcurrants_soybeans,Food_food_formula,Propionate,2.034017476,-0.588812706
formula_blackcurrants_soybeans,Food_food_formula,Butyrate,-0.496649261,-0.419191399
formula_blackcurrants_soybeans,Food_food_formula,Butyrate,-0.706938199,-0.419191399
formula_blackcurrants_soybeans,Food_food_formula,Butyrate,-0.553350545,-0.419191399
formula_blackcurrants_soybeans,Food_food_formula,total_SCFAs,-0.083165987,0.518583889
formula_blackcurrants_soybeans,Food_food_formula,total_SCFAs,-1.36618486,0.518583889
formula_blackcurrants_soybeans,Food_food_formula,total_SCFAs,0.439297717,0.518583889
formula_blackcurrants_strawberries,Food_food_formula,Acetate,0.687952926,0.485117212
formula_blackcurrants_strawberries,Food_food_formula,Acetate,1.095183917,0.485117212
formula_blackcurrants_strawberries,Food_food_formula,Acetate,3.313088288,0.485117212
formula_blackcurrants_strawberries,Food_food_formula,Propionate,0.983790526,-0.175716816
formula_blackcurrants_strawberries,Food_food_formula,Propionate,0.938243697,-0.175716816
formula_blackcurrants_strawberries,Food_food_formula,Propionate,2.561830497,-0.175716816
formula_blackcurrants_strawberries,Food_food_formula,Butyrate,-0.491500802,-0.582305937
formula_blackcurrants_strawberries,Food_food_formula,Butyrate,-0.537445092,-0.582305937
formula_blackcurrants_strawberries,Food_food_formula,Butyrate,-0.467850756,-0.582305937
formula_blackcurrants_strawberries,Food_food_formula,total_SCFAs,0.730288702,-0.00242434
formula_blackcurrants_strawberries,Food_food_formula,total_SCFAs,1.080604547,-0.00242434
formula_blackcurrants_strawberries,Food_food_formula,total_SCFAs,3.298061164,-0.00242434
formula_chickpeas_pork,Food_food_formula,Acetate,-1.026403532,0.032713595
formula_chickpeas_pork,Food_food_formula,Acetate,1.125937946,0.032713595
formula_chickpeas_pork,Food_food_formula,Acetate,-0.003004509,0.032713595
formula_chickpeas_pork,Food_food_formula,Propionate,-1.211075534,0.577594325
formula_chickpeas_pork,Food_food_formula,Propionate,0.899612894,0.577594325
formula_chickpeas_pork,Food_food_formula,Propionate,-0.089908962,0.577594325
formula_chickpeas_pork,Food_food_formula,Butyrate,-0.706938199,-0.521189549
formula_chickpeas_pork,Food_food_formula,Butyrate,-0.683174921,-0.521189549
formula_chickpeas_pork,Food_food_formula,Butyrate,-0.656033721,-0.521189549
formula_chickpeas_pork,Food_food_formula,total_SCFAs,-1.17231512,0.328286324
formula_chickpeas_pork,Food_food_formula,total_SCFAs,1.091601734,0.328286324
formula_chickpeas_pork,Food_food_formula,total_SCFAs,-0.057687301,0.328286324
formula_chickpeas_yellow_peas,Food_food_formula,Acetate,-0.952666173,0.759728763
formula_chickpeas_yellow_peas,Food_food_formula,Acetate,-1.46893857,0.759728763
formula_chickpeas_yellow_peas,Food_food_formula,Acetate,-0.410602727,0.759728763
formula_chickpeas_yellow_peas,Food_food_formula,Propionate,-0.675143398,-0.475392155
formula_chickpeas_yellow_peas,Food_food_formula,Propionate,-0.954634171,-0.475392155
formula_chickpeas_yellow_peas,Food_food_formula,Propionate,-0.085968034,-0.475392155
formula_chickpeas_yellow_peas,Food_food_formula,Butyrate,-0.706938199,2.578274061
formula_chickpeas_yellow_peas,Food_food_formula,Butyrate,-0.678751915,2.578274061
formula_chickpeas_yellow_peas,Food_food_formula,Butyrate,-0.561110847,2.578274061
formula_chickpeas_yellow_peas,Food_food_formula,total_SCFAs,-0.992121074,2.043421729
formula_chickpeas_yellow_peas,Food_food_formula,total_SCFAs,-1.48973418,2.043421729
formula_chickpeas_yellow_peas,Food_food_formula,total_SCFAs,-0.411241025,2.043421729
formula_couscous_pork,Food_food_formula,Acetate,0.394672072,-2.755315709
formula_couscous_pork,Food_food_formula,Acetate,-0.058329568,-2.755315709
formula_couscous_pork,Food_food_formula,Acetate,-0.292353189,-2.755315709
formula_couscous_pork,Food_food_formula,Propionate,0.100051647,3.023806339
formula_couscous_pork,Food_food_formula,Propionate,-1.047991326,3.023806339
formula_couscous_pork,Food_food_formula,Propionate,-0.237946998,3.023806339
formula_couscous_pork,Food_food_formula,Butyrate,-0.060718915,0.429605212
formula_couscous_pork,Food_food_formula,Butyrate,-0.706938199,0.429605212
formula_couscous_pork,Food_food_formula,Butyrate,1.460484298,0.429605212
formula_couscous_pork,Food_food_formula,total_SCFAs,0.36563607,0.349907032
formula_couscous_pork,Food_food_formula,total_SCFAs,-0.296128643,0.349907032
formula_couscous_pork,Food_food_formula,total_SCFAs,-0.186825999,0.349907032
formula_couscous_pumpkin,Food_food_formula,Acetate,1.228563855,-0.879231974
formula_couscous_pumpkin,Food_food_formula,Acetate,1.087691553,-0.879231974
formula_couscous_pumpkin,Food_food_formula,Acetate,0.518825722,-0.879231974
formula_couscous_pumpkin,Food_food_formula,Propionate,-0.397668053,0.305021081
formula_couscous_pumpkin,Food_food_formula,Propionate,1.906485147,0.305021081
formula_couscous_pumpkin,Food_food_formula,Propionate,0.093019435,0.305021081
formula_couscous_pumpkin,Food_food_formula,Butyrate,-0.042830381,-0.406715707
formula_couscous_pumpkin,Food_food_formula,Butyrate,-0.491081567,-0.406715707
formula_couscous_pumpkin,Food_food_formula,Butyrate,-0.545851605,-0.406715707
formula_couscous_pumpkin,Food_food_formula,total_SCFAs,1.028904975,-0.959076891
formula_couscous_pumpkin,Food_food_formula,total_SCFAs,1.225672139,-0.959076891
formula_couscous_pumpkin,Food_food_formula,total_SCFAs,0.440158665,-0.959076891
formula_pork_raspberries,Food_food_formula,Acetate,0.63107735,0.115833269
formula_pork_raspberries,Food_food_formula,Acetate,0.122559219,0.115833269
formula_pork_raspberries,Food_food_formula,Acetate,0.931942599,0.115833269
formula_pork_raspberries,Food_food_formula,Propionate,1.667663136,-0.372508301
formula_pork_raspberries,Food_food_formula,Propionate,1.123417298,-0.372508301
formula_pork_raspberries,Food_food_formula,Propionate,-0.216377172,-0.372508301
formula_pork_raspberries,Food_food_formula,Butyrate,1.59115731,-0.654478622
formula_pork_raspberries,Food_food_formula,Butyrate,-0.567619269,-0.654478622
formula_pork_raspberries,Food_food_formula,Butyrate,-0.637726227,-0.654478622
formula_pork_raspberries,Food_food_formula,total_SCFAs,0.932101128,-0.694652844
formula_pork_raspberries,Food_food_formula,total_SCFAs,0.245727262,-0.694652844
formula_pork_raspberries,Food_food_formula,total_SCFAs,0.75199097,-0.694652844
formula_pumpkin_yellow_peas,Food_food_formula,Acetate,-1.725579846,-0.315486365
formula_pumpkin_yellow_peas,Food_food_formula,Acetate,0.357202079,-0.315486365
formula_pumpkin_yellow_peas,Food_food_formula,Acetate,0.159642245,-0.315486365
formula_pumpkin_yellow_peas,Food_food_formula,Propionate,-0.743981524,-0.188547913
formula_pumpkin_yellow_peas,Food_food_formula,Propionate,0.366581324,-0.188547913
formula_pumpkin_yellow_peas,Food_food_formula,Propionate,-0.000823957,-0.188547913
formula_pumpkin_yellow_peas,Food_food_formula,Butyrate,-0.706938199,0.411023797
formula_pumpkin_yellow_peas,Food_food_formula,Butyrate,-0.706938199,0.411023797
formula_pumpkin_yellow_peas,Food_food_formula,Butyrate,-0.679636418,0.411023797
formula_pumpkin_yellow_peas,Food_food_formula,total_SCFAs,-1.726542984,-0.306850892
formula_pumpkin_yellow_peas,Food_food_formula,total_SCFAs,0.326495153,-0.306850892
formula_pumpkin_yellow_peas,Food_food_formula,total_SCFAs,0.09830043,-0.306850892
